Time;T_out;T_in;pressure;voltage;current
0;22,8;25,6;985,5; 4,164;-26,000
5;22,8;25,6;985,5; 4,160;-23,000
10;22,8;25,7;985,5; 4,160;-25,000
15;22,8;25,8;985,6; 4,160;-23,000
20;22,8;25,9;985,5; 4,160;-25,000
25;22,8;25,9;985,5; 4,160;-23,000
30;23,8;26,0;985,6; 4,160;-24,000
35;24,5;26,0;985,6; 4,160;-23,000
40;24,6;26,0;985,6; 4,160;-24,000
45;24,6;26,0;985,6; 4,160;-23,000
50;24,6;26,1;985,6; 4,160;-24,000
55;24,6;26,1;985,6; 4,160;-22,000
60;24,5;26,1;985,6; 4,160;-23,000
65;24,4;26,1;985,6; 4,160;-23,000
70;24,4;26,1;985,7; 4,156;-23,000
75;24,4;26,1;985,6; 4,160;-26,000
80;24,3;26,2;985,6; 4,156;-23,000
85;24,3;26,2;985,7; 4,156;-26,000
90;24,3;26,2;985,6; 4,156;-23,000
95;24,2;26,2;985,7; 4,156;-25,000
100;24,2;26,2;985,7; 4,156;-23,000
105;24,1;26,2;985,7; 4,156;-25,000
110;24,1;26,2;985,7; 4,156;-23,000
115;24,1;26,2;985,7; 4,156;-25,000
120;24,0;26,2;985,7; 4,156;-23,000
125;24,0;26,2;985,7; 4,156;-24,000
130;23,9;26,2;985,7; 4,156;-23,000
135;23,9;26,2;985,6; 4,156;-24,000
140;23,9;26,2;985,6; 4,156;-23,000
145;23,9;26,2;985,7; 4,156;-23,000
150;23,8;26,2;985,7; 4,156;-23,000
155;23,8;26,2;985,7; 4,156;-23,000
160;23,8;26,3;985,7; 4,156;-27,000
165;23,8;26,3;985,7; 4,156;-23,000
170;23,8;26,3;985,7; 4,156;-26,000
175;23,8;26,3;985,7; 4,156;-23,000
